Date	PD Code	Area Code	AC Code MH	Project Nr	Item Description	Amount
04/04/2024	10S1440	10	1	1644	3 Baldia - Safety PPE	6100.00
02/04/2024	30C1010		1637	4 Akhtar - Timber sheet	12590.00
30/03/2024	30E2013		1637	5 Akhtar Labour	7500.00
03/04/2024	30C2010		1637	6 Akhtar Paint	2900.00
30/03/2024	30B2010		1637	7 Akhtar Sand Cement Stone	10660.00
01/04/2024	30C2010		1637	9 Akhtar Paint	29000.00
29/03/2024	30D5000		1562	10 Korangi Electrical Sockets and channel	1260.00
29/03/2024	30C2010		1562	11 Korangi Paint	650.00
29/03/2024	30C1092		1562	12 Korangi Channel	452.00
29/03/2024	30C2010		1562	13 Korangi Paint	1180.00
05/04/2024	20G2030	20	3	1644	17 Baldia - Sand cement Blocks	17680.00
05/04/2024	30C2010		1562	18 Korangi- Paint	4200.00
01/04/2024	20G1020	20	3	1644	19 Baldia Demolition labour and Masons	22200.00
05/04/2024	30D5000		1562	20 Korangi UPS Power	210000.00
02/04/2024	30B2010		1637	22 Akhtar Contractor masons	118000.00
02/04/2024	20G3010	20	3	1637	23 Akhtar Pipe glue	650.00
04/04/2024	20G2030	20	3	1637	24 Akhtar Sand cement Blocks	15720.00
05/04/2024	30B2020		1637	25 Akhtar Steel for window	1000.00
05/04/2024	30C2010		1637	26 Akhtar Paint	12290.00
05/04/2024	30B2010		1637	27 Akhtar Sand cement	3188.00
29/03/2024	20G3010	20	3	1637	28 Akhtar Plumbing elbow	280.00
04/04/2024	60B2010		1644	29 Baldia Masonry works	13500.00
08/04/2024	30C2032		1637	30 Akhtar Contractor	74300.00
01/04/2024	30B2050		1637	31 Akhtar Windows and Doors	102000.00
09/04/2024	60C2032		1644	1- Beldia Cement	7285.00
09/04/2024	60C1010		1644	2 - Beldia R Bar Steel	23000.00
09/04/2024	20G4010	20	3	1644	3 - Beldia Electric Cables	29440.00
11/04/2024	60C1010		1644	4 - Beldia Contractor Labour	49520.00
11/04/2024	60C2010		1645	5 - Drigh Rd Paint contractor / Access	49890.00
09/04/2024	60C2010		1645	6 - Drigh Rd Paint	151660.00
09/04/2024	60C2032		1645	7 - Drigh Rd Sand cement tile set	16860.00
10/04/2024	20G3010	20	3	1637	8 - Akhtar SP Contractor Labour	48700.00
10/04/2024	20G4010	20	3	1637	9 - Akhtar  Electrical 1st fix	380.00
10/04/2024	20G3010	20	3	1637	10 - Akhtar Plumbing 1st fix	1260.00
10/04/2024	20G3010	20	3	1637	11 - Akhtar  Plumbing 1st Fix	13610.00
10/04/2024	20G4010	20	3	1637	12 - Akhtar Electrical 1st fix	790.00
12/04/2024	20G4010	20	3	1637	13 - Akhtar Electrical 1st fix	260.00
12/04/2024	20G3010	20	3	1637	14 - Akhtar Plumbing	10570.00
12/04/2024	20G3010	20	3	1637	15 - Akhtar Plumbing	1185.00
11/04/2024	20G4010	20	3	1637	16- Akhtar Electrical	830.00
09/04/2024	20G3010	20	3	1637	17 - Akhtar Water tank	3000.00
12/04/2024	20G4010	20	3	1637	18 - Akhtar Contractor Labour	94400.00
09/04/2024	30E2050		1637	19 - Akhtar Furniture Sp Accom	151800.00
13/04/2024	60C1010		1644	20 - Beldia Containment	17600.00
16/04/2024	20G3020	20	3	1637	1 - Akhtar Plumbing 1st fix	4890.00
16/04/2024	30C2011		1637	2 - Akhtar Marble	142000.00
16/04/2024	30C2011		1637	3 - Akhtar Deliver Transport	8500.00
16/04/2024	20G3020	20	3	1637	4 - Akhtar Plumbing	1200.00
16/04/2024	30D5040		1637	5 - Akhtar electrical Lamps	850.00
16/04/2024	60B2011		1645	6 - Drigh Rd Paint	51620.00
16/04/2024	60B2011		1645	7 - Drigh Rd Labour Contractor	22000.00
16/04/2024	30D5000		1637	10 - Akhtar Electrician	40150.00
16/04/2024	30D5000		1637	11 - Akhtar Labour	53310.00
17/04/2024	30C2010		1637	12 - Akhtar Paint	10750.00
17/04/2024	20G3020	20	3	1637	13 - Akhtar Plumbing part	240.00
16/04/2024	10S1440	10	1	1645	14 - Drigh Rd Ladder hire	4900.00
18/04/2024	60B2011		1645	15 - Drigh Rd Contractor Paint	45120.00
18/04/2024	20G1010	20	3	1644	16 - Baldia Town Labour and rubbish removal	29000.00
05/02/2024	30B2010		1637	1 Akhtar Cement	10000.00
30/04/2024	30B2010		1637	2 Akhtar Sand Tile bond	14720.00
29/04/2024	30C1092		1637	3 Akhtar Trim washroom	1140.00
29/04/2024	30E2013		1637	4 Akhtar Timber sheets Kitchen	19800.00
29/04/2024	30E2013		1637	5 Akhtar Handles ironmongery	4170.00
29/04/2024	30C2010		1637	6 Akhtar Filler Paint	450.00
29/04/2024	30E2013		1637	7 Akhtar Trim Kitchen	3000.00
29/04/2024	30C1092		1637	8 Akhtar Marble	73000.00
05/05/2024	30C1090		1637	9 Akhtar Labour	145000.00
29/04/2024	60C2011		1644	10 Baldia tile set	400.00
29/04/2024	10S1430	10	1	1644	11 Baldia Tile blades	540.00
29/04/2024	20G2030	20	3	1644	12 Baldia Sand cement	19720.00
29/04/2024	20G2030	20	3	1644	13 Baldia Sand cement	19780.00
05/02/2024	60C2011		1644	14 Baldia Tile couler grout	220.00
30/04/2024	10S1430	10	1	1644	15 Baldia Cloths cleaning	250.00
01/05/2024	10S1430	10	1	1644	16 Baldia Cleaning	600.00
29/04/2024	60D2000		1644	17 Baldia Plumbing connector	1430.00
01/05/2024	30D3000		1644	18 Baldia KH Fans	44000.00
01/05/2024	60C2010		1644	19 Baldia Labour	30000.00
01/05/2024	60B2010		1243	20 Yohanabad - Clean up rubbish removal	24950.00
01/05/2024	60D5040		1644	24 Baldia Lights KH	12450.00
05/06/2024	30E1060		1637	25 Akhtar Fridge Washing machine	130701.00
05/06/2024	30C1090		1637	26 Akhtar Paint KH	23100.00
05/03/2024	30C1090		1637	27 Akhtar Paint filler	4631.00
05/04/2024	30D5040		1637	28 Akhtar Lamps	6182.00
05/04/2024	30D2000		1637	29 Akhtar Plumbing Parts	1960.00
05/04/2024	20G1010	20	3	1637	30 Akhtar Rubbish removal / Tile Delivery	5000.00
05/03/2024	30C1030		1637	31 Akhtar Timber internal doors	11500.00
05/02/2024	20G1010	20	3	1637	32 Akhtar Rubbish removal	2200.00
29/04/2024	30C1090		1637	33 Akhtar fixing	1200.00
11/05/2024	60B2010		1644	1 Timber	5350.00
13/05/2024	60B2010		1644	2 Cement	1180.00
13/05/2024	60B2010		1644	3 Tile set	600.00
13/05/2024	60B2010		1644	4 Tile set	300.00
16/05/2024	60D2000		1644	5 Conduit	160.00
11/05/2024	60B2010		1644	6 Cement	2360.00
11/05/2024	60D5000		1644	7 Electrical trim	440.00
10/05/2024	60B2010		1644	8 Cement tile adhesive	6120.00
11/05/2024	60B2011		1644	9 Paint	2600.00
11/05/2024	60B2011		1644	10 Paint	2930.00
11/05/2024	60B2011		1644	11 Paint	320.00
11/05/2024	60B2011		1644	12 Paint	90.00
11/05/2024	60B2050		1644	13 Labour	40000.00
14/05/2024	60B2010		1644	14 Cement tile set	11110.00
10/05/2024	60C1090		1644	15 Paint	15400.00
10/05/2024	60D2000		1644	16 Pipe	500.00
13/05/2024	60B2010		1644	17 Cement	1200.00
14/05/2024	60B2011		1644	18 Paint	4220.00
19/05/2024	60B2011		1644	19 Paint	520.00
15/05/2024	60D5000		1644	20 Cable	3800.00
15/05/2024	30B2011		1637	21 Paint	490.00
10/05/2024	30B2011		1637	22 Timber	800.00
15/05/2024	30B2050		1637	23 Door handle	1500.00
10/05/2024	30B2011		1637	24 Paint	210.00
10/05/2024	30B2011		1637	25 Paint	7500.00
16/05/2024	30B2011		1637	26 Paint	6700.00
